Institution,Medium,Access,Month,Day,Year,Narrator,Creator,Location_Tags,Topic_Tags,Description,Link
Center of Southwest Studies,Audio,Contact Institution,March,17,2001,Edward B. Anderson,Neal Ferris,,"Navajo, Native American, Military & Veterans","Navajo Reservation; About Narrator: Navajo code talker. 1st Marines-Division-1st Marines. Married. Educated at Ganado Mission High School.; Collection:U004: Southwest Oral History - BOX 41 ; Notes:By a student of Southwest Studies 341 (oral history) ; Found in Box #41. TA 11/13/2020; 2nd cassette located in another box, unsure if a duplicate… Cassette states ""Tape 2"" on side A; Side B blank. Date of Interview is different than original entry date, and is dated 4/8/2001. Added to box 41 with other tape anyways. -GHG 12/17/2020",
Center of Southwest Studies,Audio,Contact Institution,April,8,2001,Edward B. Anderson,Neal Ferris,,,,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,November,16,1993,Edward Fox,Devin Sanders,,World War II,"U.S. Navy--World War, 1939-1945 Cuban missile crisis Texas; About Narrator: Born in Dallas, Texas, in 1924; married to Alyce Carlson in 1945; two children. Employed in sales and marketing management, 1953-1982.; Collection:U011: World War II Oral History Project-Box 7 ; Notes:Transcribed by Center of Southwest Studies staff on Nov. 20, 1993.;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",December,9,1976,"Edwin N. ""Ned"" Wallace",Duane Smith,"Durango, La Plata County",,No general subjects listed.; About Narrator: No info provided.; Collection:U003: Durango Oral Histories ; Notes: ;,
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",November,9,1989,"Edwin W. ""Ned"" Wallace",Duane Smith,"Durango, La Plata County",Education & Schools,"College presidents--Colorado--Durango--Biography
Universities and colleges--Colorado--Durango--Presidents Durango (Colo.)--History
; About Narrator: No info provided.; Collection:U001: FLC Oral Histories - BOX 21 ; Notes:Fort Lewis College Associate Professor of Education Emeritus.;",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",April,18,1991,Eileen Candelaria,Jody; Barb Fjerstad Glick,"Ignacio, La Plata County, Southern Ute Reservation","Ute, Native American, Government","Ute Indians Indians of North America--Government Ignacio (Colo.)--History
; About Narrator: No info provided.; Collection:U012: Southern Ute Tribe Oral Histories - BOX 4 ; Notes:Basic Release Form that requires only narrator's signature; (Duplicate listing.) With co-interviewer Barb Fjerstad. (Finding Aid states: ""With co-interviewer Jody Glick. Transcribed by Center of Southwest Studies staff, Oct. 3, 1991."";",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",June,14,1967,Elaine Erickson,Gregory C. Floyd A.; Thompson O'Neil,,Native American,No general subjects listed.; About Narrator: No info provided.; Collection:U008 Box 1: American Indian Oral History Project ; Notes:Thlingit Fort Lewis College student.;,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,March,15,2001,Elaine O. Cleveland,Lenora Tsosie,,Archaeology,Four Corners region; About Narrator: Interview with archaeologist Elaine O. Cleveland. Married with children. Navajo Nations Archaeology Department.; Collection:U004: Southwest Oral History - BOX 41 ; Notes:By a student of Southwest Studies 341 (oral history).;,
Center of Southwest Studies,Audio,Contact Institution,March,14,2001,Elaine Padilla,Deloria Dallas,"La Plata County, Durango",Education & Schools,"Four Corners region; About Narrator: Her education was high school and college.; Collection:U001: FLC Oral Histories - BOX 41 ; Notes:By a student of Southwest Studies 341 (oral history).; Found in Box #41, updated tape #. TA 11/13/2020",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",March,5,1990,Eleanor D. MacDonald,Diana Ohlson,,,"New Mexico; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 11 ; Notes:By a former Fort Lewis College student, but not done for Fort Lewis College course credit. Part of a series of 15 audiocassettes (per Dick Ellis's note in folder).;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",August,2,1990,Eleanor D. MacDonald,Diana Ohlson,,,"Four Corners Region; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 11 ; Notes:By a former Fort Lewis College student, but not done for Fort Lewis College course credit;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",January,17,1991,Eleanor D. MacDonald,Diana Ohlson,,,"Four Corners Region; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 11 ; Notes:By a former Fort Lewis College student, but not done for Fort Lewis College course credit;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",January,21,1991,Eleanor D. MacDonald,Diana Ohlson,,,"Four Corners Region; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 11 ; Notes:By a former Fort Lewis College student, but not done for Fort Lewis Collge course credit;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",February,5,1991,Eleanor D. MacDonald,Diana Ohlson,,,"Four Corners Region; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 11 ; Notes:By a former Fort Lewis College student, but not done for Fort Lewis college course credit;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",February,12,1991,Eleanor D. MacDonald,Diana Ohlson,,,"Four Corners Region; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 11 ; Notes:By a former Fort Lewis College student, but not done for Fort Lewis college course credit;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",February,19,1991,Eleanor D. MacDonald,Diana Ohlson,,,"Four Corners Region; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 11 ; Notes:By a former Fort Lewis College student, but not done for Fort Lewis college course credit;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",February,26,1991,Eleanor D. MacDonald,Diana Ohlson,,,"Four Corners Region; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 11 ; Notes:By a former Fort Lewis College student, but not done for Fort Lewis college course credit;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",December,30,1980,Eleanor MacDonald,Jimmy Miller,,,"Farmington (N.M.) History; About Narrator: No info provided.; Collection:U017: Farmington Oral History Project - BOX 28 ; Notes:No folders or documents, tapes only; No releases found;Fort Lewis College Southwest Studies student of Richard Ellis's gave the Center of Southwest Studies the tapes of this series.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,February,19,1997,Elizabeth Ann McPherson,Beverly Morgan,"Durango, La Plata County",Education & Schools,"Universities and colleges--Colorado--Durango
Durango (Colo.)--History; About Narrator: An Fort Lewis College student, majoring in Southwest Studies.; Collection:U001: FLC Oral Histories - BOX 33 ; Notes:By two students of Southwest Studies 341 (oral history class). This audiotaped interview was transcribed by Center of Southwest Studies student worker Brookes Boswell in 1/1999 and was edited and formatted by Center Archivist Todd Ellison on January 26, 1999.; Found in Box #33, updated tape #. 3 interviews on 1 cassette. TA 11/13/2020",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,December,6,1993,Ellen G. Cargile,Leonard Sanders,"Durango, La Plata County","Arts, Native American, Education & Schools","Southwest art history--Instruction; Native Americans--Education; Four Corners region; About Narrator: Retired Fort Lewis College professor of art who also had a title as curator for the Center of Southwest Studies, though her sole role in that regard was purchasing contemporary textiles and other Southwest art for the Center using its Excellence grant funds in about 1991.; Collection:U001: FLC Oral Histories - BOX 4 ; Notes:About Southwest art, Crown Point rug auction, Native American education at Fort Lewis College, Dan Namingah and Allen Houser and other Native American artists, ceramics, and other topics. Publishing rights were not granted (but Dr. Cargile was a College employee). Transcribed by Center of Southwest Studies staff on March 17, 1993.;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",August,15,1992,Ellen Hayes,Andrew Gulliford,,Native American,"Four Corners region; About Narrator: No info provided.; Collection:U018: Andrew Gulliford Oral History Collection - BOX 39 ; Notes:Produced as part of Dr. Gulliford's research for his book, Sacred Objects and Sacred Places: Preserving Tribal Traditions; Found in Box #40, updated tape #. TA 11/13/2020",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",August,6,1989,Ellen Kroeger; William Miernyk Farris,Duane Smith,"Hesperus, La Plata County",Education & Schools,"College students--Colorado--Hesperus--Biography
Universities and colleges--Colorado--Hesperus--History
Fort Lewis (Colo.)--History
; About Narrator: No info provided.; Collection:U001: FLC Oral Histories-Box 7 ; Notes:A group interview (filed under Ellen Farris) pertaining to the Old Fort Lewis; participants included Ellen Kroeger Farris, William Miernyk, Alphia Kling, Freddie Kildirk (Whitener), and Farren and Edith McGray Smith, et al.;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",June,25,1993,Elmer Bair,Andrew Gulliford,,"Ute, Native American","Ute Trail (Colo.), Carbondale (Colo.) History; About Narrator: No info provided.; Collection:U018: Andrew Gulliford Oral History Collection - BOX 42 ; Notes:No file;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",June,19,1967,Elmer Lincoln,Gregory C. Floyd A.; Thompson O'Neil,,"Native American, Navajo",No general subjects listed.; About Narrator: No info provided.; Collection:U008 Box 2: American Indian Oral History Project ; Notes:Navajo Fort Lewis College student.;,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,December,6,1993,Eloy Quintana,Devin Sanders,"Silverton, San Juan County",World War II,"World War, 1939-1945--Pacific front Pearl Harbor (Hawaii); About Narrator: Born in Rosa, New Mexico, in 1918; married Cicilia F. Montoya in 1948. Was raised in Silverton, where his father worked in a mine. Served in Hawaii and elsewhere in the Pacific during the Pearl Harbor attack; was a gunnery flight engineer in the 7th Air Corps.; Collection:U011: World War II Oral History Project - BOX 16 ; Notes:By a Fort Lewis College Southwest Studies history student of Richard Ellis's. Transcribed by Center of Southwest Studies staff on Jan. 8, 1994.;",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",October,13,1990,Emanuel Carlson,Warren Anderson; Dorothy Zahrt,"Durango, La Plata County","Water, Homesteading","Irrigation projects--Colorado--La Plata Homesteaders--Colorado--La Plata County Spring Creek (La Plata County, Colo.); About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 22 ; Notes:""Duplicate listing for co-narrator Warren Anderson"" ; Basic Release Form that requires only narrator's signature.",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",January,14,1981,Emery Arnold,Tom Dugan,,,"Farmington (N.M.) History; About Narrator: No info provided.; Collection:U017: Farmington Oral History Project - BOX 27 ; Notes:No folders or documents, tapes only; No releases found; Fort Lewis College Southwest Studies student of Richard Ellis's gave the Center of Southwest Studies the tapes of this series.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,March,3,1992,Emily Billings,Elizabeth Young,"Durango, La Plata County",,"Cities and towns--Colorado--Animas City--History; Cities and towns--Hermosa--History; Animas City (Colo.)--History
; About Narrator: Longtime Durango resident.; Collection:U004: Southwest Oral History - BOX 3 ; Notes: ;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,February,5,2005,Emma Leona Knickerbocker,Christina Knickerbocker,"Bayfield, La Plata County, Ignacio, Southern Ute Reservation","Education & Schools, Military & Veterans","U.S. Depression La Junta (Colo.); About Narrator: Early life in La Junta (Colo.), lived in Kansas during the Depression, then moved to Bayfield (Colo.) and back to La Junta, then to Wash., D.C> to work during the early 1940s, and back to Bayfield. Was a schoolteacher in Ignacio. Husband was in the U.S. military so they moved to Florida, Texas, and back to southwestern Colorado.; Collection:U004: Southwest Oral History - TOO BIG TO FIT IN BOX 45, 4 DVD CASES ADJACENT. ; Notes:With some comments by Marjorie A. Knickerbocker, daughter of Emma.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,December,13,1992,Emma Morgan,Brett Pavlik,"Durango, La Plata County","Native American, Education & Schools","Indians of North America--Education--Colorado--Durango Gallup (N.M.)--History
; About Narrator: Sophomore Business Administration major at Fort Lewis College. Born in Gallup, N.M.; Collection:U004: Southwest Oral History - BOX 13 ; Notes:Contents summary is on tape j-card. Transcript and half-page biographical sketch was given to narrator on Feb. 10, 1997 for her to return with corrections.;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",September,6,1990,Emmet Martinez,Harold Phelps,,Ranching,No general subjects listed.; About Narrator: No info provided.; Collection:U004 Box 8: Southwest Oral History ; Notes:Interviewer was using Martinez' info to locate the Will Dutton Ranch.; Duplicate entry - this was copied and place above with other entry number 179. GHG 12/8/2020,
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",,,1990,Emmet Martinez,Twila F. Brown,"Pagosa Springs, Archuleta County",Homesteading,"Homesteaders--Colorado--Pagosa Springs
Tierra Maria land grant (N.M.)
Pagosa Springs (Colo.)--History; About Narrator: Lifelong resident of Pagosa Springs. Int. ca. 1991?; Collection:U004: Southwest Oral History-Box 12 ; Notes:Interview undated; conducted circa 1989-1991?; Date estimated",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",July,27,1971,Eric LaRose,Gregory C. Floyd A.; Thompson O'Neil,"Durango, La Plata County","Native American, Ute, Education & Schools","No general subjects listed.; About Narrator: No info provided.; Collection:U008 Box 2: American Indian Oral History Project ; Notes:Northern Ute student at Fort Lewis College. Discusses Indian tuition waivers controversy, et al.;Duke interview #1176.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,April,21,1992,Ernest H. Begay,Ronald N. Thompson,,"Navajo, Native American","Navajo-Hopi land dispute Indians of North America--Land disputes
Four Corners region; About Narrator: Member of the Navajo Tribal Council.; Collection:U004: Southwest Oral History - BOX 2 ; Notes:In English. Also, prior reminiscences regarding 1989.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,April,9,1991,Ernest H. Begay,Ronald N. Thompson,,"Navajo, Native American, Government","Navajo Indians--Government Indians of North America--Government
Four Corners region; About Narrator: Former council member of the Navajo Tribe.; Collection:U004: Southwest Oral History - BOX 2 ; Notes:In English. For a Fort Lewis College Southwest Studies history class taught by Richard Ellis.; I'm guessing that this is the cassette with a sticker labled ""2"" on it; I labled the cassette and case ""34B"" for distinction from above interview. Finding Aid lists the interviews with same interview # of 34, however, different metadata is present for each. -GHG 1/14/2021",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,February,14,1989,Ernest H. Begay,Ronald N. Thompson,,"Navajo, Native American","Navajo-Hopi land dispute
Indians of North America--Land disputes
Four Corners region; About Narrator: Member of the Navajo Tribal Council.; Collection:U004: Southwest Oral History - BOX 3 ; Notes:Undated reminiscences recorded by Ernest Begay after Feb. 14, 1989. Transcribed by Center staff on Feb. 12, 1993. Cf. tapes of interviews #s 33 and 34.; I'm guessing that this is the cassette with a sticker labled ""1"" on it; I labled the cassette and case ""34A"" for distinction from below interview. Finding Aid lists the interviews with same interview # of 34, however, different metadata is present for each. -GHG 1/14/2021",
Center of Southwest Studies,Audio,Contact Institution,April,15,1991,Ernest Nesbit,E. Polly Hammer,,Forestry,No general subjects listed.; About Narrator: No info provided.; Collection:U.S. Forest Service ; Notes: ; Copy Tape #1 1991-04-25. Discussion of his career on the Gunnison National Forest (1956-1991).,
Center of Southwest Studies,Audio,Contact Institution,September,15,1981,Ernest Salabar; Ruby Bowers,Geneva Ryan,"Bayfield, La Plata County",,No general subjects listed.; About Narrator: No info provided.; Collection:U 023: Bayfield (Colo.) Oral History Collection ; Notes: ;,
Center of Southwest Studies,Audio,Contact Institution,September,15,1981,Ernest Salabar; Ruby Sullivan Bowers,Geneva Ryan,"Bayfield, La Plata County",,No general subjects listed.; About Narrator: Ernest Salabar 1886-1982. Ruby Lola Sullivan-Bowers 1903-1990.; Collection:U 023: Bayfield (Colo.) Oral History Collection ; Notes: ;,
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",March,6,1969,Ernest Yasteya,Michael B. Husband,,Native American,No general subjects listed.; About Narrator: No info provided.; Collection:U016 Box 1: Indian Oral History Project ; Notes:Property manager for the Santa Fe All Indian Band.;,
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",August,1,1978,"Esanapa ""Grandma"" Martin",Jackson Clark,,"Navajo, Native American","Navajo Indians--Social life & customs
Navajo Reservation (N.M)
Four Corners region; About Narrator: Mrs.Bob Martin; Collection:U004: Southwest Oral History-Box 12 ; Notes: ;",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",September,28,1977,"Esanapa ""Grandma"" Martin",Jackson Clark,,"Navajo, Native American, Arts","Navajo blankets
Weavings--Collection and preservation
Four Corners region; About Narrator: Mrs. Bob Martin, age 86 or 87. With Mr. and Mrs. Geronimo and Lois Martin.; Collection:U004: Southwest Oral History-Box 12 ; Notes: Consists of identification of photographs and discussion of an historic family weaving being donated to the Center of Southwest Studies through Mr. Clark, the interviewer. Includes some untranslated/ untranscribed speaking in Navajo. Side B has the interviewer's business dictation. Need to do some research to compare data file with tape and transcript.;",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",February,16,1979,"Esanapa ""Grandma"" Martin",Jackson Clark,,"Navajo, Native American, Daily Life","Navajo Indians--Social life & customs
Navajo Reservation (N.M)
Four Corners region; About Narrator: (Mrs.Geronimo Martin?); Collection:U004: Southwest Oral History-Box 12 ; Notes:A recorded conversation, not an oral history. Need to compare tape and transcript with the data file.;",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",,,2001,et al. Arne Karla Vicenti; Harris,Duane Smith,,"Sports, News & Media","Baseball - Journalism - Cubs. Chicago (Il.); About Narrator: Arne Harris discusses his job as a Cubs Broadcaster since the 1960s; Syd Thrift has been covers the Cubs Spring Training; Jerome Holtzman has been on the Cubs beat since the late 1950s. ; Collection:U004: Southwest Oral History - BOX 45 ; Notes:By a Fort Lewis College student of Southwest history. Transcribed by Center of Southwest Studies staff. This interview consists of not only a short interview with Arne Harris, but brief interviews with Syd Thrift and Jerome Harris as well. These interviews are in regards to their jobs as Baseball Journalists; Information on the tape does not match finding aid. Needs to verify. Tape reads: ""Interview w/ Karla Vicenti. March 30, 01. #703, Side A."" LT 4/20/21 3/30/2001; 1999",
Center of Southwest Studies,Audio,Contact Institution,April,18,1991,"Ethel ""Lale"" Jackson",E. Polly Hammer,,Forestry,No general subjects listed.; About Narrator: No info provided.; Collection:U.S. Forest Service ; Notes: ; Copy Tape #1 1991-05-21.,
Center of Southwest Studies,Transcript,"Restricted (no release), Contact Institution",,,,Ethel Hawkins Paulek,na,La Plata County,,"Mail carriers--Colorado--La Plata County; Postmasters--Colorado--La Plata County; Breen (Colo.)--History; About Narrator: Account by the donor's mother (Ethel Hawkins Paulek) of her experiences. Also, a photocopy of a picture of Ethel Paulek when she carried the mail by horseback, and a photocopy of a page listing the postmasters for Breen, 1901-1954. All four pieces of paper are being retained together in the Ethel Paulek oral history folder.; Collection:U004: Southwest Oral History ; Notes:Reminiscences. The first mail carrier in the Hesperus - Fort Lewis -Hay Gulch -Pleasant View - Breen - Content area of La Plata County, Colorado, for nearly three years starting in the spring of 1901.; There is both a interview # 4 listed in both U002 and U004, however, the physical cassette located in box 1 of oral history collection is the interview with John A. Admas, above. The U004 finding aid staes there are 0 cassettes and 2 pages of a transcript. Removed to ""Transcript Only"" tab. -GHG 1/14/2021",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",February,15,1977,Ethel Nelson,Duane Smith,"Durango, La Plata County",Racial Relations,"No general subjects listed.; About Narrator: No info provided.; Collection:U003: Durango Oral Histories ; Notes:Subj-KKK, race relations; Subj-KKK, race relations",
Center of Southwest Studies,Audio,Contact Institution,September,21,1992,Ethel Porter Johnson,E. Polly Hammer,,Forestry,"No general subjects listed.; About Narrator: No info provided.; Collection:U.S. Forest Service ; Notes: ; Copy Tape #1 1992-12-06. Daughter of Kent Porter, first Forest Supervisor Uncompahgre National Forest.",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",July,10,1981,Eugene Tapahonso Sr.,Diana Hansen,,,"Farmington (N.M.) History; About Narrator: No info provided.; Collection:U017: Farmington Oral History Project - BOX 29 ; Notes:No folders or documents, tapes only; No releases found;Fort Lewis College Southwest Studies student of Richard Ellis's gave the Center of Southwest Studies the tapes of this series.; Found in Box #29, updated tape #. TA 11/11/2020",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,October,1,1991,"Eugene W. ""Gene"" Forbes",Todd Ellison,Chaffee County,Forestry,"Civilian Conservation Corps--Camps--Missouri Forestry Liberia; About Narrator: Born in St. Elmo (Colo.), 1908.; Collection:U002: U.S Forest Service Oral History Collection-Box 6 ; Notes:Continues on p. 14 of reminiscence transcription. Transcribed by Center of Southwest Studies staff on March 3, 1993.;",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",September,1,1991,"Eugene W. ""Gene"" Forbes",none,,Forestry,"Rangers Forestry Rolla (Mo.)--History; About Narrator: Began working for the USFS as a survyor during his college years; Collection:U002 Box 1: U.S Forest Service Oral History Collection-Box 6 ; Notes:Reminiscences recorded by Forbes himself before the USFS reunion. Transcribed by Center of Southwest Studies staff on March 3, 1993.;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",April,26,1989,Eula Mae Morris,H. Ruth Lucero,,Education & Schools,"No general subjects listed.; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 13 ; Notes:Teacher for 43 years at the time of the interview. Former Colorado Teacher of the Year; For a R. Ellis class. Tape 5, Side B is blank.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,April,23,1991,Euterpe Taylor,and V. Turner Carol Martinez,"Ignacio, La Plata County, Southern Ute Reservation","Ute, Native American","Ute Indians--Social conditions Ignacio (Colo.)--History; About Narrator: Euterpe Taylor, daughter of John and Kittie Cloud Taylor, died in early 1994.; Collection:U012: Southern Ute Tribe Oral Histories - BOX 20 ; Notes:Co-interviewer was Valerie Turner. Using a 90-minute tape.;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",August,23,1967,Eva Hayes,Gregory C. Floyd A.; Thompson O'Neil,"Mancos, Montezuma County",Native American,No general subjects listed.; About Narrator: No info provided.; Collection:U008 Box 1: American Indian Oral History Project ; Notes:Mrs. Hayes was born in Mancos in 1890.;,
Center of Southwest Studies,Audio,Contact Institution,October,30,1990,Eva Mrs. Walter Pool,E. Polly Hammer,,Forestry,No general subjects listed.; About Narrator: No info provided.; Collection:U.S. Forest Service ; Notes: ; Copy Tape #1 All of side A is original tape #1. Side B has 15 minutes of original tape #1 and the total 30 minutes of original tape #2.,
Center of Southwest Studies,Audio,Contact Institution,November,6,1990,Eva Mrs. Walter Pool,E. Polly Hammer,,Forestry,No general subjects listed.; About Narrator: No info provided.; Collection:U.S. Forest Service ; Notes: ; Copy Tape #2 1990-11-12. Side A is all a copy of tape 3 original. Side B is the rest of original tape 3 and the entire 3.5 minutes on original tape 4.,
Center of Southwest Studies,Audio,Contact Institution,November,6,1990,Eva Mrs. Walter Pool,E. Polly Hammer,,Forestry,No general subjects listed.; About Narrator: No info provided.; Collection:U.S. Forest Service ; Notes: ; Copy Tape #3 (original tapes 3+4).,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,May,17,1993,Eva Nadine Martinsen,Twila F. Brown,"Durango, La Plata County",,"Cities and towns--Colorado--Animas City--History Theaters--Colorado--Durango--History Animas City (Colo.)
; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 12 ; Notes:Transcribed by Center of Southwest Studies staff, Oct. 1, 1993. See also data files Martinse (48,085 bytes) and Martinse.add (76,058 bytes).;",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",February,19,1991,Evelyn Jones Payne,Sari Ross,"Ignacio, La Plata County, Southern Ute Reservation",,Ignacio (Colo.)--History; About Narrator: No info provided.; Collection:U004 Box 10: Southwest Oral History - BOX 15 ; Notes: ; Basic Release Form that requires only narrator's signature;,
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",March,3,1994,Evelyne Semler,Unidentified speaker,"Ignacio, La Plata County, Southern Ute Reservation","Ute, Native American, Agriculture & Farming","Ute Indians - Social conditions, Farming - Colorado - North Spring Creek, Ignacio (Colo.) History
; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 18 ; Notes:Interviewer was an unidentified student of Professor Farren Webb's; Southwest Studies student at Fort Lewis College; box number changed from box 1 GF 11/11/202",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",,,1993,Everet Jewell,Andrew Gulliford,,"Ute, Native American","Ute Trail (Colo.), Rifle (Colo.)- History; About Narrator: No info provided.; Collection:U018: Andrew Gulliford Oral History Collection - BOX 42 ; Notes: ; Date estimated",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",March,1,1989,Everett Burch,Unidentified Speaker,"Ignacio, La Plata County, Southern Ute Reservation","Ute, Native American, Education & Schools","Ute Indians--Education; Indians of North America--Education; Ignacio (Colo.)--History; About Narrator: No info provided.; Collection:U012: Southern Ute Tribe Oral Histories - BOX 4 ; Notes:Undated, by an unidentified interviewer, in about 1988-1991. Transcribed by Center of Southwest Studies staff on May 29, 1991.;",
Center of Southwest Studies,Audio,Contact Institution,July,21,1992,Evstace Day,Andrew Gulliford,,Native American,"Wyoming; About Narrator: Historian, Shoshone Tribal Cultural Center; Collection:U018: Andrew Gulliford Oral History Collection - BOX 37 ; Notes:Produced as part of Dr. Gulliford's research for his book, Sacred Objects and Sacred Places: Preserving Tribal Traditions.; Found in Box #38. TA 11/13/2020; This tape feautres Part 2 of Troy, Kelly and ""Eustare Day"" 7/21/92. It has two entries in the finding aid, but phsically there is one tape titeled ""573""",
Center of Southwest Studies,Audio,Contact Institution,February,5,1991,Fabian and Juan Garcia,,,Forestry,"No general subjects listed.; About Narrator: No info provided.; Collection:U.S. Forest Service ; Notes: ; Copy Tape 1991-04-25. El Rito R.D., Carson N.F., El Rito, N.M. Permittees, aspen carvings, Spanish Land Grant History. The end of the tape is on side A of the Charles ""Hoot"" Murray Tape, Copy #2.",
Center of Southwest Studies,Audio,Contact Institution,June,22,1977,Felipe de Jesus Lucero,Ethel and Helen Dunn Purcell,"Bayfield, La Plata County",,Copy; About Narrator: No info provided.; Collection:U 023: Bayfield (Colo.) Oral History Collection ; Notes: ;,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,May,17,1994,Fern Decker Ellis,Patricia K. Everett,"Mancos, Montezuma County",Medicine,Childbirth--Colorado--Montezuma County Decker family Mancos (Colo.)--History; About Narrator: No info provided.; Collection:U004: Southwest Oral History-Box 6 ; Notes: ;,
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",March,22,1995,Filfred Tahy,Matilda Adakai,,,No general subjects listed.; About Narrator: No info provided.; Collection:U001: FLC Oral Histories ; Notes:Not in a file;,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,March,22,1995,"Filfred Y. S. ""Phyl"" Tahy",Matilda Adakai,,"Navajo, Arts","Navajo Indians--Art Artists--Arizona--Ganado Ganado (Ariz.)--History
; About Narrator: Fort Lewis College student (junior), majoring in art. A freelance artist. Worked with NAPI on groundwater contamination but does not discuss that in this interview. With the transcript sent to him on Oct. 25, 1995, Todd Ellison included an inquiry as to his providing one of his works of art for the Center's Southwest Art collection.; Collection:U004: Southwest Oral History - BOX 24 ; Notes: ;",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",January,27,1981,Filiberto Lohman,Joe Boettcher,,,"Farmington (N.M.) History; About Narrator: No info provided.; Collection:U017: Farmington Oral History Project - BOX 28 ; Notes:No folders or documents, tapes only; No releases found;Fort Lewis College Southwest Studies student of Richard Ellis's gave the Center of Southwest Studies the tapes of this series.;",
Center of Southwest Studies,Audio,Contact Institution,February,28,2001,Floyd Causey,Myra Mumma,"La Plata County, Durango",,"Four Corners region; About Narrator: Married to Anita L in 1956. Education from Western State, M.A., is retired.; Collection:U001: FLC Oral Histories - BOX 41 ; Notes:By a student of Southwest Studies 341 (oral history).; Found in Box #41. TA 11/13/2020",
