Institution,Medium,Access,Month,Day,Year,Narrator,Creator,Location_Tags,Topic_Tags,Description,Link
Animas Museum,Transcript,Contact Institution,,,,Violet Barasa Piccoli,,La Plata County,Education & Schools,"From Ruth Lambert's ""A Study of Rural Schools in La Plata County Colorado,"" volume 2, ""School Voices / Memories of County Schools."" The study was prepeard for the State Historical Fund, Project Number 2010-02-054.",
Animas Museum,Audio,Contact Institution,,,,Violet Smith,,"Hesperus, La Plata County",Mining,"Owner of the King Coal Mine in Hesperus, lived in Animas City",
Animas Museum,Audio,Contact Institution,,,,William Henry Roberts,,,,,
Animas Museum,Audio,Contact Institution,,,1975,Zeke Flora,,,,Zeke Flora's Message to the Tree Ring Gang,
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",June,8,1994,[David] Tony Isaacs,R. T. Thompson,,"Native American, Music","Indians of North America--Music
Native American music--Collecting
Taos (N.M.); About Narrator: Interviewed at his Indian House (Taos, N.M.) studio; Indian music authority. and digital master.; Collection:U004: Southwest Oral History-Box 9 ; Notes:Tape 2 side B is Red Spirit drum group (#215);",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,March,24,1995,A. B. (Amando Ben) Cordova,Christopher R. Begay,"Durango, La Plata County","Hispanic, Smelter & Mine Processing","Hispanic Americans--Colorado--Durango--Biography Vanadium mills--Colorado--Durango--Employees Chihuahua (Durango, Colo.)--History; About Narrator: Long-time member of the Sacred Heart Parish; employed at vanadium mill site in Durango.; Collection:U004: Southwest Oral History - BOX 26 ; Notes:By an oral history student in Southwest Studies 341.;",
Center of Southwest Studies,Audio,Contact Institution,,,,A. C. Ross,John Belindo,,Native American,"No general subjects listed.; About Narrator: No info provided.; Collection:U004 Box 1?: Southwest Oral History ; Notes:John Belindo interviews ""Ehanamani"" a.k.a. Dr. Ross as a follow up to discuss the prophecies presented in the first video American Indian Prophecies. (Cataloged for Delaney Library AV room.);",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",April,24,1996,A. H. Ball,Tom Sykes,,,"Oral history interview with A. H. Ball; About Narrator: Mr. Ball was 88 years old at the time of this interview and came to Durango in 1941. ; Collection:M 063: Richard Ellis Papers - BOX 49 ; Notes:Interview conducted by a student in SW 330: Cowboys, Cattlemen and Popular Culture class. On a microcassette. Mr. Ball was 88 years old at the time of this interview and came to Durango in 1941. He held a record regarding bighorn sheep in Colorado. Note: oral history release is only signed by the narrator. Very basic release form requiring only Narrator's signature; For FLC course; 2005:11002.017 / Accn written on tape 2005:11002.080",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",January,8,1958,A. M. Camp,Earl Barker,"Durango, La Plata County",Local Business,No general subjects listed.; About Narrator: No info provided.; Collection:U003 Box 1: Durango Oral Histories ; Notes:Hotels taverns;,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,December,7,1992,Aaron Benally,Matthew Dixon,,"Navajo, Native American, Daily Life",Navajo Indians--Social life Fort Lewis College--Native Americans Shiprock (N.M.)--History; About Narrator: Resident Assistant at Fort Lewis College; Navajo student.; Collection:U004: Southwest Oral History - BOX 3 ; Notes:By a Fort Lewis College student of Southwest Studies history;,
